Molecular Weight,C,Compositions,GalNAcS,GalP,GalS,NeuGc,Hex,Pen,Fuc,Neu,HexNAc,NeuAcAc,ManP,Kdn,HexN,HexA,GlcNAcS,Xxx,GlcAS,GalNAcS2,Rha,Xyl,NeuAc,Water,Adduct/Replacement,Adduct Amount,Peptide Sequence,Peptide Modification,Peptide Missed Cleavage Number,Number of Glycan Attachment to Peptide,Start AA,End AA
1802.6449961037,0,[0;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1933.7032393087,0,[0;0;0;0;5;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;1;1],0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
1480.5549991737,0,[0;0;0;0;4;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2079.7611481787,0,[0;0;0;0;5;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;1;1],0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
1072.3806038937,0,[0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1261.4807119387,0,[0;0;0;0;3;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1261.4807119387,0,[0;0;0;0;3;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1423.5335354387,0,[0;0;0;0;4;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1277.4756265687,0,[0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
883.2804958487,0,[0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1],0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1318.5021756737,0,[0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1259.4650618687,0,[0;0;0;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2128.8040160237,0,[0;0;0;0;3;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
3101.1461091637,0,[0;0;0;0;7;0;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,7,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1014.3387390537,0,[0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2224.7986559437,0,[0;0;0;0;5;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;2;1],0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,1,NH3/H,0,,,0,0,0,0
2879.0106186137,0,[0;0;0;0;6;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;1],0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,1,NH3/H,0,,,0,0,0,0
1363.4760205287,0,[0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
2675.9312460087,0,[0;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;3;1],0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,NH3/H,0,,,0,0,0,0
2881.0262686837,0,[0;0;0;0;6;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;3;1],0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,3,1,NH3/H,0,,,0,0,0,0
1769.6347657387,0,[0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
3228.1479000887,0,[0;0;0;0;6;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;3;1],0,0,0,0,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3,1,NH3/H,0,,,0,0,0,0
2060.7301823737,0,[0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1],0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,NH3/H,0,,,0,0,0,0
1097.4122383687,0,[0;0;0;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
675.2585785287,0,[0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
764.1463272737,0,[1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1890.6610401337,0,[0;0;0;0;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
1170.4286167337,0,[0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;1],0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,NH3/H,0,,,0,0,0,0
869.3012312887,0,[0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1031.3540547887,0,[0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
545.1955842887,0,[0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1681.6187217087,0,[0;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1843.6715452087,0,[0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1259.4650618687,0,[0;0;0;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1144.4017332937,0,[0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
1519.5658982087,0,[0;0;0;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1681.6187217087,0,[0;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
3027.0841775537,0,[0;0;0;0;6;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;3;1],0,0,0,0,6,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,3,1,NH3/H,0,,,0,0,0,0
3027.0841775537,0,[0;0;0;0;6;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;3;1],0,0,0,0,6,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,3,1,NH3/H,0,,,0,0,0,0
1154.4337021037,0,[0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1712.6133020037,0,[0;0;0;0;4;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
1040.3907746337,0,[0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2165.7238192887,0,[0;0;0;0;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1331.4861912687,0,[0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
1665.6238070787,0,[0;0;0;0;3;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1185.4282823987,0,[0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
1193.4068782887,0,[0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1550.5604785037,0,[0;0;0;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
1640.5921726037,0,[0;0;0;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1945.6668537987,0,[0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;1],0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,NH3/H,0,,,0,0,0,0
1770.6551668437,0,[0;0;0;0;4;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2898.0415844187,0,[0;0;0;0;9;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1519.5658982087,0,[0;0;0;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1421.5178853687,0,[0;0;0;0;4;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
877.3175500287,0,[0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
326.1212970537,0,[0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
367.1478461587,0,[0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1405.5229707387,0,[0;0;0;0;3;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
791.3171560687,0,[0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
734.2956923337,0,[0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
676.2538274937,0,[0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
734.2956923337,0,[0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
514.2010039937,0,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
831.2552465887,0,[0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1196.3874426937,0,[0;0;1;0;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
831.2552465887,0,[0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
831.2552465887,0,[0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
831.2552465887,0,[0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
872.2817956937,0,[0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1],0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
831.2552465887,0,[0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
669.2024230887,0,[0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1],0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
669.2024230887,0,[0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1],0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
444.1479057837,0,[0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,NH3/H,0,,,0,0,0,0
2007.7400187787,0,[0;0;0;0;6;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2079.7611481787,0,[0;0;0;0;5;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;1;1],0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
586.2221333937,0,[0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2077.7454981087,0,[0;0;0;0;5;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
1770.6551668437,0,[0;0;0;0;4;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2548.9406884537,0,[0;0;0;0;6;0;2;1;4;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,6,0,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2590.9512531537,0,[0;0;0;0;6;0;2;0;4;0;0;0;0;0;0;1;0;0;0;0;1;1],0,0,0,0,6,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,1,1,NH3/H,0,,,0,0,0,0
2299.8558365187,0,[0;0;0;0;6;0;2;0;4;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,6,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2299.8558365187,0,[0;0;0;0;6;0;2;0;4;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,6,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2370.8565648137,0,[0;0;0;0;5;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;2;1],0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,2,1,NH3/H,0,,,0,0,0,0
529.2006696587,0,[0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2078.7658992137,0,[0;0;0;0;5;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,5,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2898.0415844187,0,[0;0;0;0;9;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
3537.2538814237,0,[0;0;0;0;7;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;4;1],0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,4,1,NH3/H,0,,,0,0,0,0
1446.5495198437,0,[0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1243.4701472387,0,[0;0;0;0;2;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1031.3540547887,0,[0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
3322.2360464687,0,[0;0;0;0;8;0;4;0;6;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,8,0,4,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2283.8609218887,0,[0;0;0;0;5;0;3;0;4;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,5,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1918.7287257837,0,[0;0;0;0;4;0;3;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1331.3770347387,0,[0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;1],0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1015.3591401587,0,[0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
531.2163197287,0,[0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1841.6181722887,0,[0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
2281.8452718187,0,[0;0;0;0;5;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
490.1897706237,0,[0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
490.1897706237,0,[0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
952.2655740737,0,[0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;1],0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
707.2484077887,0,[0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
894.3328657637,0,[0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
504.1690351837,0,[0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
1762.5833613337,0,[1;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],1,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
3425.2517561637,0,[0;0;0;0;9;0;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,9,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,NH3/H,0,,,0,0,0,0
